ID,NAME,SMILES,NaClg/L,Temp,Concentration,IE
10001,2-mercaptopyrimidine,S=c1nccc[nH]1,10,313K,20ppm,91.24%
10002,2-mercaptopyrimidine,S=c1nccc[nH]1,50,313K,20ppm,85.56%
10003,2-mercaptopyrimidine,S=c1nccc[nH]1,100,313K,20ppm,83.31%
10004,2-mercaptopyrimidine,S=c1nccc[nH]1,150,313K,20ppm,81.73%
10005,2-mercaptopyrimidine,S=c1nccc[nH]1,200,313K,20ppm,76.29%
10006,2-Benzylsulfanyl-1H-benzimidazole,c3ccc(CSc2nc1ccccc1[nH]2)cc3,2.587,333K,100ppm,90.80%
10007,"quaternary ammonium salts based on pyrrolidine
(PyQAs)",CCCCCCCCC(O)C(CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC(O)C(CC(O)C(CCCCC)[NH+]1CCCC1)[NH+]2CCCC2)OC(=O)CCCCCCCC(C(O)CCCCCCCC)[NH+]3CCCC3)[NH+]4CCCC4.[Cl-].[Cl-].[Cl-].[Cl-],24.53,298K,7×10-5 M,63.40%
10008,"quaternary ammonium salts based on pyrrolidine
(PyQAs)",CCCCCCCCC(O)C(CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC(O)C(CC(O)C(CCCCC)[NH+]1CCCC1)[NH+]2CCCC2)OC(=O)CCCCCCCC(C(O)CCCCCCCC)[NH+]3CCCC3)[NH+]4CCCC4.[Cl-].[Cl-].[Cl-].[Cl-],24.53,298K,15×10-5 M,68.10%
10009,"quaternary ammonium salts based on pyrrolidine
(PyQAs)",CCCCCCCCC(O)C(CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC(O)C(CC(O)C(CCCCC)[NH+]1CCCC1)[NH+]2CCCC2)OC(=O)CCCCCCCC(C(O)CCCCCCCC)[NH+]3CCCC3)[NH+]4CCCC4.[Cl-].[Cl-].[Cl-].[Cl-],24.53,298K,35×10-5 M,82.20%
10010,"quaternary ammonium salts based on pyrrolidine
(PyQAs)",CCCCCCCCC(O)C(CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC(O)C(CC(O)C(CCCCC)[NH+]1CCCC1)[NH+]2CCCC2)OC(=O)CCCCCCCC(C(O)CCCCCCCC)[NH+]3CCCC3)[NH+]4CCCC4.[Cl-].[Cl-].[Cl-].[Cl-],24.53,298K,70×10-5 M,92.00%
10011,"quaternary ammonium salts based on piperidine 
(PiQAs)","
CCCCCCCCC(O)C(CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC(O)C(CC(O)C(CCCCC)[NH+]1CCCCC1)[NH+]2CCCCC2)OC(=O)CCCCCCCC(C(O)CCCCCCCC)[NH+]3CCCCC3)[NH+]4CCCCC4.[Cl-].[Cl-].[Cl-].[Cl-]",24.53,298K,7×10-5 M,67.00%
10012,"quaternary ammonium salts based on piperidine 
(PiQAs)","
CCCCCCCCC(O)C(CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC(O)C(CC(O)C(CCCCC)[NH+]1CCCCC1)[NH+]2CCCCC2)OC(=O)CCCCCCCC(C(O)CCCCCCCC)[NH+]3CCCCC3)[NH+]4CCCCC4.[Cl-].[Cl-].[Cl-].[Cl-]",24.53,298K,15×10-5 M,80.10%
10013,"quaternary ammonium salts based on piperidine 
(PiQAs)","
CCCCCCCCC(O)C(CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC(O)C(CC(O)C(CCCCC)[NH+]1CCCCC1)[NH+]2CCCCC2)OC(=O)CCCCCCCC(C(O)CCCCCCCC)[NH+]3CCCCC3)[NH+]4CCCCC4.[Cl-].[Cl-].[Cl-].[Cl-]",24.53,298K,35×10-5 M,86.00%
10014,"quaternary ammonium salts based on piperidine 
(PiQAs)","
CCCCCCCCC(O)C(CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC(O)C(CC(O)C(CCCCC)[NH+]1CCCCC1)[NH+]2CCCCC2)OC(=O)CCCCCCCC(C(O)CCCCCCCC)[NH+]3CCCCC3)[NH+]4CCCCC4.[Cl-].[Cl-].[Cl-].[Cl-]",24.53,298K,70×10-5 M,94.00%
10015,"4-(2-quinolinylazo)-catechol 
(AZN-1)",Oc3ccc(/N=N\c2ccc1ccccc1n2)cc3O,35,323K,1×10-5 M,39.80%
10016,"4-(2-quinolinylazo)-catechol 
(AZN-1)",Oc3ccc(/N=N\c2ccc1ccccc1n2)cc3O,35,323K,2.5×10-5 M,58.90%
10017,"4-(2-quinolinylazo)-catechol 
(AZN-1)",Oc3ccc(/N=N\c2ccc1ccccc1n2)cc3O,35,323K,5×10-5 M,82.60%
10018,"4-(2-quinolinylazo)-catechol 
(AZN-1)",Oc3ccc(/N=N\c2ccc1ccccc1n2)cc3O,35,323K,1×10-4 M,91.40%
10019,"4-(2-quinolinylazo)-catechol
(AZN-1)",Oc3ccc(/N=N\c2ccc1ccccc1n2)cc3O,35,323K,5×10-4 M,98.30%
10020,"4-(4-phenoxyphenylazo)-1-naphthol
(AZN-2)",Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35,323K,1×10-5 M,35.50%
10021,"4-(4-phenoxyphenylazo)-1-naphthol
(AZN-2)",Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35,323K,2.5×10-5 M,56.10%
10022,"4-(4-phenoxyphenylazo)-1-naphthol
(AZN-2)",Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35,323K,5×10-5 M,79.80%
10023,"4-(4-phenoxyphenylazo)-1-naphthol
(AZN-2)",Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35,323K,1×10-4 M,89.70%
10024,"4-(4-phenoxyphenylazo)-1-naphthol
(AZN-2)",Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35,323K,5×10-4 M,97.20%
10025,"4-(4-pyridylazo)-1-naphthol
(AZN-3)",Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35,323K,1×10-5 M,27.10%
10026,"4-(4-pyridylazo)-1-naphthol
(AZN-3)",Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35,323K,2.5×10-5 M,47.50%
10027,"4-(4-pyridylazo)-1-naphthol
(AZN-3)",Oc3ccc(/N=N\c2ccc(Oc1ccccc1)cn2)c4ccccc34,35,323K,5×10-5 M,72.30%
