ID,NaClg/L,TempK,Concentrationg/L
10001,10,313,0.02
10002,50,313,0.02
10003,100,313,0.02
10004,150,313,0.02
10005,200,313,0.02
10006,2.587,333,0.1
10007,24.53,298,0.09644383
10008,24.53,298,0.20666535
10009,24.53,298,0.48221915
10010,24.53,298,0.9644383
10011,24.53,298,0.10037139
10012,24.53,298,0.21508155
10013,24.53,298,0.50185695
10014,24.53,298,1.0037139
10015,35,323,0.00265272
10016,35,323,0.0066318
10017,35,323,0.0132636
10018,35,323,0.0265272
10019,35,323,0.132636
10020,35,323,0.0034137
10021,35,323,0.00853425
10022,35,323,0.0170685
10023,35,323,0.034137
10024,35,323,0.170685
10025,35,323,0.0034137
10026,35,323,0.00853425
10027,35,323,0.0170685
10028,35,323,0.034137
10029,35,323,0.170685
10030,35,323,0.0034137
10031,35,323,0.00853425
10032,35,323,0.0170685
10033,35,323,0.034137
10034,35,323,0.170685
10036,10,323,0.025
10037,10,323,0.05
10038,10,323,0.075
10039,10,323,0.1
10040,10,323,0.01
10041,10,323,0.025
10042,10,323,0.05
10043,10,323,0.1
10044,10,323,0.005
10045,10,323,0.01
10046,10,323,0.025
10047,10,323,0.05
10048,10,323,0.1
10049,50,298,0.025
10050,50,298,0.05
10051,50,298,0.075
10052,50,298,0.1
10053,50,298,0.15
10054,50,313,0.025
10055,50,313,0.05
10056,50,313,0.075
10057,50,313,0.1
10058,50,313,0.15
10059,50,333,0.025
10060,50,333,0.05
10061,50,333,0.075
10062,50,333,0.1
10063,50,333,0.15
10064,35,298,0.1
10065,35,343,0.1
10066,35,298,0.1
10067,35,343,0.1
10068,35,298,0.1
10069,35,343,0.1
10070,2.587,298,0.01
10071,2.587,298,0.025
10072,2.587,298,0.05
10073,2.587,298,0.075
10074,2.587,298,0.1
10075,30,333,0.025
10076,30,333,0.05
10077,30,333,0.075
10078,30,333,0.1
10079,30,333,0.15
10080,30,333,0.2
10081,30,333,0.0511496
10082,30,333,0.0152248
10083,30,333,0.0611616
10084,2.587,333,0.06
10085,2.587,333,0.06
10086,28.2,333,0.05
10087,28.2,333,0.1
10088,28.2,333,0.2
10089,28.2,333,0.4
